src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.66,224.0.0.251,5353,5353,17,2023-03-22 16:29:23,0.0,0,0,0,0,1,0,793,0,793.0,793.0,793.0,0.0,0.0,0.0,0.0,0.0,793,793,793.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,793.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,0.0,0,1,0,793,0
192.168.1.69,192.168.1.254,49298,53,17,2023-03-22 16:29:24,13191.699981689453,50713.70641604916,303.2209651183806,151.6104825591903,151.6104825591903,2,2,184,485,92.0,92.0,92.0,0.0,270.0,215.0,242.5,27.5,270,92,167.25,77.7218598593729,6040.6875,16,16,8,2,4397.233327229817,7760.763168334961,42.91534423828125,3227.748401549237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,167.25,0,0,0.0,0.0,0.0,0.0,7760.763168334961,5345.10612487793,6552.934646606445,1207.8285217285156,0.0,0.0,0.0,0.0,0.0,0.0,92.0,242.5,0,2,2,184,485
192.168.1.69,40.74.98.193,34800,443,6,2023-03-22 16:29:24,247552.15644836426,565.5373881956142,8.079105545651633,4.039552772825816,4.039552772825816,1,1,74,66,74.0,74.0,74.0,0.0,66.0,66.0,66.0,0.0,74,66,70.0,4.0,16.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,70.0,64240,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,66.0,0,1,1,74,66
192.168.1.69,40.74.98.193,34800,443,6,2023-03-22 16:29:24,819777.9655456543,10134.451460243985,13.418267460602292,8.538897474928731,4.879369985673561,7,4,2458,5850,1428.0,54.0,351.14285714285717,472.53614482202875,4558.0,54.0,1462.5,1838.2987379639903,4558,54,755.2727272727273,1287.150841687251,1656757.2892561988,140,80,20,4,81977.79655456543,204705.71517944336,62.22724914550781,99242.34070330409,615072.2503662109,204599.85733032227,117.54035949707031,102512.04172770183,101312.8014332223,615065.336227417,205621.24252319336,204406.4998626709,205021.77874247232,496.04268690136536,0,0,0,0,1,0,0,0,0,0,0,0.5714285714285714,755.2727272727273,502,2051,203684.32998657227,557.1842193603516,151406.52656555176,87102.2602396759,204588.1748199463,198464.87045288086,202304.36325073242,2329.173778153678,0.0,0.0,0.0,0.0,0.0,0.0,351.14285714285717,1462.5,0,7,4,2458,5850
192.168.1.69,192.168.1.254,51959,53,17,2023-03-22 16:29:25,7577.657699584961,58329.37004058774,527.8676021772645,263.93380108863226,263.93380108863226,2,2,166,276,83.0,83.0,83.0,0.0,144.0,132.0,138.0,6.0,144,83,110.5,27.825348155953055,774.25,16,16,8,2,2525.885899861654,7478.952407836914,26.702880859375,3502.3957406490485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,110.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,138.0,0,2,2,166,276
192.168.1.1,192.168.1.255,520,520,17,2023-03-22 16:29:25,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
162.159.133.234,192.168.1.69,443,53690,6,2023-03-22 16:29:25,48.160552978515625,7558052.752475248,41527.762376237624,20763.881188118812,20763.881188118812,1,1,298,66,298.0,298.0,298.0,0.0,66.0,66.0,66.0,0.0,298,66,182.0,116.0,13456.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,182.0,8,3024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,66.0,0,1,1,298,66
192.168.1.69,192.168.1.66,1716,1716,17,2023-03-22 16:29:26,0.0,0,0,0,0,1,0,1514,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1514.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.0,0.0,0,1,0,1514,0
192.168.1.69,192.168.1.255,57621,57621,17,2023-03-22 16:29:29,0.0,0,0,0,0,1,0,86,0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,86,86,86.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,86.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0,1,0,86,0
162.159.133.234,192.168.1.69,443,53690,6,2023-03-22 16:29:29,42.91534423828125,14493650.48888889,46603.37777777778,23301.68888888889,23301.68888888889,1,1,556,66,556.0,556.0,556.0,0.0,66.0,66.0,66.0,0.0,556,66,311.0,245.0,60025.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,311.0,8,3024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,66.0,0,1,1,556,66
